id,nama,Foto,bahan,cooking_step,kalori,protein
29,Pindang patin,https://img-global.cpcdn.com/recipes/3df566d617846579/680x482cq70/pindang-patin-bumbu-iris-foto-resep-utama.jpg,1 kg ikan patin--7 buah cabe rawit merah--7 buah cabe merah keriting--5 siung baput--5 siung bamer--1 sendok makan lada--4 buah kemiri--5 buah cengkeh--2 buah trasi (sy pke abc)--3 lembar daun salam--4 lembar daun jeruk--3 batang serai--3 buah tomat--1 sendok teh asam jawa--2 ruas jahe (sebesar ibu jari dewasa)--2 ruas lengkuas--1 ikat kemangi--2 batang daun bawang--2 sendok kecap manis--1 buah gula merah--secukupnya Garam--secukupnya Penyedap rasa--1 sendok teh gula putih--,"Bersihkan ikan patin.potong"" sesuai selera.sisihkan--Haluskan baput.lada.kemiri.cengkeh.trasi.--Potong"" cabe rawit.cabe merah.tomat.daun bawang.jahe.bamer.serai dan lengkuas digeprek--Tumis bamer sampai harum.kemudian masukan bumbu yg sudah dihaluskan.tumis sampai harum.masukan serai.lengkuas.cabai.daun salam.daun jeruk.kecap.asam jawa.aduk rata--Masukan ikan patin.garam.penyedap rasa.gula merah n putih.aduk rata.--Tambahkan air sesuai selera.masak kira"" 15 menit--Setelah 15 menit dan dirasa sdh matang masukan daun bawang.tomat & kemangi.aduk rata--Koreksi rasa.angkat & sajikan--",334,21
30,Pepes Aceh ikan tongkol,https://resepkoki.id/wp-content/uploads/2021/12/Resep-Pepes-Ikan-Tongkol.jpg,1/2 kg anak ikan tongkol--2 btg serai. rajang halus--Segenggam cabe rawit utuh utk taburan--1 tangkai daun temurui (ambil daunnya)--Segenggam belimbing wuluh. potong serong--5 lbr daun jeruk. rajang--2 sendok mkn bawang goreng--Bumbu ygdihaluskan🍀--20 bh cabe Rawit (pedas sesuai selera)--Seruas kunyit--2 genggam asam sunti--7 siung bawang merah--4 siung bawang putih--1/2 sendok jinten--Penyedap (optional)--,Cuci bersih ikan.kucuri dgn jeruk nipis dan garam--Haluskan bumbu. lalu tumis bumbu hingga harum beri sedikit garam. gula dan penyedap--Campur bumbu yg sdh ditumis td ke dlm ikan. aduk rata--Tambahkan. rajangan sereh. belimbingwuluh. cabe rawit.daun temurui dan bawang goreng. aduk hingga bumbu merata--Bungkus dgn daun pisang ikan yg sdh dibumbui td. lalu kukus hingga matang.--Terakhir panggang pepes di teflon sebentar sambil dibolak balik. Angkat dan sajikan--,307,15
31,Tuna Tepung Siram Saus,https://img-global.cpcdn.com/recipes/be38e2f902a6e4c9/680x482cq70/151-fillet-tuna-tepung-saus-tiram-foto-resep-utama.jpg,1/2 kg ikan tuna--1 bawang bombai--1 bks Tepung sebaguna--2 lbr daun salam--Saus tomat--Saus sambal--5 bawang merah--3 bawang putih--3 cabai keriting--sesuai selera Lada bubuk--Penyedap makanan--Garam--Gula--200 ml air--,Potong ikan seperti dadu. baluri tepung yang sudah di beri air sedikit--Goreng tuna Tepung hingga matang--Iris duo bawang dan cabai serta iris kasar bawang bombai--Tumis bumbu iris sampai harum. masukkan saus tomat. saus cabe. lada bubuk. iris an bawang bombai garam. gula. penyedap. dan air. Biarkan sampai mendidik lalu masukkan Tina tepung yang sudah di goreng. Diamkan sebentar dan siap di hidangan :)--,600,17
32,Ikan Dencis Bumbu Kuning Cabe Rawit,https://img-global.cpcdn.com/recipes/030b0b53395ee53c/680x482cq70/ikan-dencis-bumbu-kuning-cabe-rawit-foto-resep-utama.jpg,500 gr ikan dencis--secukupnya Daun prei--secukupnya Garam--🌸Bumbu halus--5 siung bawang merah--3 siung bawang putih--secukupnya Kemiri (kira2 3 buah)--kunyit seujung ruas jari (sedikit saja)--jahe sedikit saja--Iris 🌸 Bumbu--secukupnya Cabe rawit--tomat setengah buah. potong dadu--,Ikan di bersihkan. di siangi. Lalu cuci bersih--Panaskan minyak (sampai benar-benar panas). Goreng ikan dengan deep fry agar tidak lengket di penggorengan.--Blender bumbu halus (bawang putih. bawang merah. kemiri. jahe)--Cabe rawit di iris belah dua dan tomat di potong dadu--Tumis bumbu halus sampai matang dan harum.--Setelah matang dan harum. masukkan cabe rawit dan tomat.--Jangan tambahkan garam dan gula.--Tambahkan sedikit air. cek rasa apakah garam dan gula sudah pas.--Masukkan ikan dencis yang telah goreng. Ratakan dengan bumbu. Tambahkan irisan daun prei.--Ikan dencis bumbu kuning cabe hijau siap di hidangkan..--,370,22
33,Bandeng Keropok,https://img-global.cpcdn.com/recipes/9076d3676cd3962e/680x482cq70/bandeng-keropok-foto-resep-utama.jpg,2 bandeng ukuran sedang--Bumbu halus:--1 sdt ketumbar--1 bw putih--1/2 sdt garam--Secukupnya air(utk mencairkan bumbu halus)--Minyak (utk menggoreng)--Sambal:--6 cabe rawit(selera pedasnya)--1 bw putih--1/2 sdt terasi--1 iris jeruk nipis--2 sdm kecap manis--3 cabe rawit iris halus--,Bersihkan bandeng. dikerat agak banyak kemudian dibalur dengan bumbu halus yg sdh dicampur air. diamkan 10 mnt spy bumbu meresap.--Setelah bumbu meresap.goreng jng terlalu kering. Sisihkan--Utk sambal. haluskan cabe. bw putih&terasi--Campur sambal dengan kecap manis. tambah perasan jeruk nipis&cabe iris.aduk rata.--Penyajian: tambahkan sambal diatas bandeng goreng ketika akan dihidangkan. Selamat mencoba.--,506,8
34,Nila goreng sambal matah,https://img-global.cpcdn.com/recipes/baeb00bf042f53ac/680x482cq70/nila-goreng-sambal-matah-foto-resep-utama.jpg,3 ekor ikan nila. ukuran sedang--2 siung bawang putih--1 ruas jari kunyit--1 sdt ketumbar halus--secukupnya Garam--Minyak untuk menggoreng--Sambal matah:--10 siung bawang merah--30 biji cabe rawit apa aja--1 buah jeruk nipis--secukupnya Royco--secukupnya Minyak goreng panas--,"Cuci bersih ikan.--Uleg bawang putih dan kunyit. lalu lumuri ikan dgn bawang putih dan kunyit yg sudah halus tdi. tambah ketumbar dan garam secukupnya. diamkan slama 30 menit agar meresap k ikan.--Setelah 30 menit lalu goreng ikan.--Menunggu ikan matang kita bikin sambal matahnya. iris tipis bwang merah dan cabe rawit piringkan.--Iris dua bagian jeruk nipis. (klo yg doyan asem sih boleh satu biji jeruk nipis'a). lalu peras k dlam irisan bawang dan cabe tdi. masukan royco dan tuangkan mnyak goreng yg panas. atau yg sedang d pakai menggoreng ikan. kira""3/4 sendok makan. lalu tekan"" cabe dan bawangnya.--Ikan goreng sambal matah siap d sajikan.😉--",322,30
35,Sop Ikan Patin,https://img-global.cpcdn.com/recipes/9fcc6ce9aea8dc03/680x482cq70/sup-ikan-patin-foto-resep-utama.jpg,1/2 kg ikan patin--4 siung bawang merah--3 siung bawang putih--secukupnya Lada--seruas jahe--seruas kunyit--seruas lengkuas--salam sereh--daun jeruk--daun bawang--daun sledri--tomat--secukupnya wortel--secukupnya garam--secukupnya gulpas--secukupnya bubuk kaldu--jeruk nipis--,Cuci bersih ikan patin lumuri dengan garam dan jeruk nipis--Iris tipis bamer dan baput--Tumis bamer. baput. daun salam. sereh. daun jeruk. jahe kunyit dan lengkuas yang dimemarkan--Masukkan air ke dalam tumisan bumbu secukupnya. masak hingga air mendidih--Masukkan gula garam bubuk kaldu. daun bawang. seledri. koreksi rasa--Masukkan ikan patin dan tomat--Masak hingga matang--,300,38
36,Steak Tenggiri,https://img-global.cpcdn.com/recipes/2606fe4341e6e47d/1200x630cq70/photo.jpg,250 gr tenggiri fillet--1 siung bawang putih haluskan--1 bh jeruk nipis ambil airnya--1 sdm minyak wijen--lada--garam--Bahan saos :--2 siung bawang putih haluskan--1 bh bawang Bombay kecil iris--1 sdm kecap ikan--1 sdm kecap manis--1 sdt saos tiram--1 sdm minyak wijen--,Cuci bersih ikan kemudian marinasi dg bumbu.diamkan selama 15mnt atau sampai bumbu meresap lalu panggang diteflon dg api kecil #ga punya grill😁 panggang sampai matang--Sambil menunggu ikan matang.kita buat saosnya. panaskan minyak lalu tumis bawang putih sampai harum.lalu masukkan secara bersamaan sikecap2 tadi--Setelah ikan matang.tata dipiring saji dan siapkan utk menu makan malam...😃 sajikan bersama sayuran rebus sesuka hati 😄--,325,25
37,Otak-otak ikan tengiri,https://img-global.cpcdn.com/recipes/c2bdaf2b8f34c0cf/680x482cq70/otak-otak-ikan-tenggiri-foto-resep-utama.jpg,1/4 ikan tengiri--200 gr tepung terigu--50 gr tepung kanji--3 siung bawah putih--5 siung bawang merah--2 batang daun bawang--1 shacet masako rasa sapi--1 butir telur ayam--,Giling daging ikan tengiri sampai halus (sesuai selera)--Giling bawang merah dan putih--Sisir daun bawang tipis-tipis--Kocok telur dalam wadah--Campurkan bahan ke 4 dalam wadah--Aduk hingga rata. campurkan masako.garam.gula.--Setalah tercampur semua. masukan ke adonan kedalam plastik. Jika sudah gunting ujung plastik.--Siapkan air mendidih. masukan adonan yg d plastik dengan cara pencet perlahan plastik hingga membentuk lonjong.--Jika sudah mengapung. tiriskan--Tunggu 3-5 menit. otak-otak siap untuk di goreng--,393,13
38,Gulai ikan mas kacang panjang,https://img-global.cpcdn.com/recipes/7107193076678257/680x482cq70/gulai-ikan-mas-kacang-panjang-foto-resep-utama.jpg,2 ekor ikan mas. bersihkan. Beri jeruk nipis dan garam--Secukupnya kacang panjang--1 sachet santan instan--secukupnya Air--Bumbu halus:--4 bawang merah--2 bawang putih--2 kemiri--1/2 sdt ketumbar--Salam.sereh.daun jeruk.jahe geprek.laos geprek--Sedikit minyak untuk menumis--secukupnya Gula garam--Tambahan--5 bawang merah utuh yg kecil--10 cabe rawit utuh--1 biji asam kandis--,Haluskan bumbu lalu tumis dengan sedikit minyak sampai harum. Masukkan salam.sereh.daun jeruk.jahe.laos. Beri air secukupnya dan santan sachet. Aduk² agar tidak pecah sampai mendidih--Masukkan ikan. kacang panjang. dan bahan pelengkap. Beri gula garam. Tes rasa. Masak sampai semua matang--,422,7
39,Pindang Serani Ikan Patin,https://img-global.cpcdn.com/recipes/02879ed5b9d67418/680x482cq70/pindang-serani-ikan-patin-foto-resep-utama.jpg,500 gr ikan patin--1 bh jeruk nipis--4 bh bawang merah. potong tipis--3 bh bawang putih. potong tipis--1 ruas jahe. bakar. geprek--1 ruas lengkuas. bakar. geprek--1 ruas kunyit. bakar. geprek--1 batang serai. geprek--3 lembar daun jeruk--2 lembar daun salam--2 ikat daun kemangi--2 bh tomat merah--10 bh cabe rawit--secukupnya air. garam. gula--,Cuci bersih ikan patin. Lumuri dengan jeruk nipis. diamkan sebentar. bilas hingga bersih.--Tumis bawang merah. bawang putih. jahe. lengkuas. kunyit. serai. daun jeruk. daun salam hingga harum. Tambahkan air. tunggu hingga mendidih.--Masukkan potongan tomat dan cabe. bumbui dengan garam dan gula secukupnya. tes rasa. Masukkan ikan patin. tunggu hingga matang (jangan sering diaduk). Terakhir masukkan daun kemangi.--Sajikan dengan taburan bawang goreng.--,504,42
40,Ikan tongkol bumbu kuning sunda,https://img-global.cpcdn.com/recipes/df4ce3236fa9ce04/680x482cq70/ikan-tongkol-bumbu-kuning-sunda-foto-resep-utama.jpg,2 ikan tongkol. potong sesuai selera--10 cabe merah--15 cabe rawit/ sesuai selera--2 ruas kunyit--1 ruas jahe--2 butir kemiri--4 siung bawang putih--6 siung bawng merah--1 batang sereh / geprek--3 lembar daun salam--1 buah tomat--semuanya di uleg yaaaa--,Goreng ikan tongkol set mateng--Tumis bumbu yg sudah dihaluskan : jahe. kunyit. bawang. kemiri. cabe merah. daun salam & sereh--Aduk sampai matang & harum. lalu kasih air sedikit & cek rasa--Setelah rasa sudah pas. masukan ikan tongkol yg sudah digoreng lalu tumis hingga air sedikit meresap--Daaaannn siap disajikaannn😉😉🙏--,401,41
41,Gurame saos mangga,https://img-global.cpcdn.com/recipes/47c4f323c21dff30/680x482cq70/ikan-gurame-saos-mangga-foto-resep-utama.jpg,1 ekor gurame--1 jeruk nipis--5 sdm saos tomat--1 sdm saos tiram--2 cabe kriting haluskan--1 ruas jahe--1 bawang bombay--1 wortel--1 mangga muda--1 gelas air--Gula--Garam--Larutan maizena--,Balurin ikan dgn jeruk nipis + sedikit garam--Goreng dlm minyak panas--Tumis bombay dan jahe sampai harum--Masukkan saos tomat dan saos tiram--Tuang air dan saos tomat saos tiram--Bumbuhi garam gula lada--Kentalkan dgn maizena--,600,12
42,Spageti Tuna Pedas,https://img-global.cpcdn.com/recipes/74e2181d5dd24f09/680x482cq70/spaghetti-tuna-pedas-foto-resep-utama.jpg,1 bungkus fettucini/spagetti--1 kaleng tuna--2 buah tomat. buang biji--10 cabe rawit (atau sesuaikan)--1 buah bawang bombay--3 siung bawang putih--secukupnya Garam--secukupnya Minyak goreng--Air untuk merebus--secukupnya Oregano/italian herbs--Merica bubuk--,Rebus spagetti hingga aldente. tambahkan garam dan minyak goreng. Tiriskan.--Panaskan minyak goreng. tumis bawang bombay dan bawang putih hingga harum.--Masukan spagetti bersama dengan tuna. tomat. dan cabe. Bumbui dengan garam. oregano. Aduk hingga rata lalu sajikan selagi hangat.--,560,37
43,Ikan Kembung Goreng Saus Kecap Pedas,https://img-global.cpcdn.com/recipes/198fbc32b990fc4e/680x482cq70/ikan-kembung-goreng-saus-kecap-pedas-foto-resep-utama.jpg,1 ekor ikan kembung goreng--Resep saus :--2 siung bawang putih--1 buah cabe besar--5 buah cabe rawit potong kecil (optional)--1 sdm kecap manis--1/2 sdm bubuk kaldu ayam/sapi--1 sdm kecap ikan--1/3 sdm lada putih--2 sdm minyak goreng--secukupnya Air putih--,Goreng ikan kembung segar. kemudian jika sudah masak. angkat dan tiriskan.--Tumis bawang putih. cabe besar. dan cabe rawit dengan minyak panas sampai setengah layu dan harum. kemudian tambahkan sedikit air putih.--Setelah itu masukan kecap manis. lada. kecap ikan. dan bubuk kaldu ayam/sapi dan aduk rata.--Setelah itu masukan ikan kembung goreng yang ditiriskan tadi. masak beberapa saat hingga bumbu kecap meresap ke ikan. Jika sudah meresap matikan api dan pindahkan di piring.--Siap disajikan dengan nasi hangat--,371,23
44,Sup Ikan Mujaer,https://img-global.cpcdn.com/recipes/233ae4ec77b088dc/1200x630cq70/photo.jpg,1 ekor ikan mujaer--1 ruas jari jahe (di geprek)--secukupnya Royco ayam--1/2 sdt merica bubuk--1 bh bawang bombay--2 sdm minyak untuk menumis--1 batang seledri (iris)--1 batang daun bawang (iris)--Bumbu halus :--4 siung bawang putih--1 sdt garam--secukupnya Pala--,Rebus ikan ± 3 menit agar mudah dipisahkan dari duri dan kepala--Tumis bawang bombay. bumbu halus dan jahe geprek dengan minyak goreng.--Masukkan bumbu yg telah di tumis ke dalam air kaldu ikan beserta ikan yg telah di pisahkan dari durinya.--Masukkan merica bubuk--Masukkan daun bawang dan seledri--Aduk-aduk sambil cek rasa. tambahkan royco secukupnya.--Siap disajikan dengan taburan bawang goreng lebih nikmat--,420,28
45,Tuna Asam Manis,https://img-global.cpcdn.com/recipes/89e238b15340ef7c/680x482cq70/ikan-tuna-asam-pedas-manis-foto-resep-utama.jpg,200 gram tuna fillet--1 siung bawang putih cincang (untuk rendaman)--1 siung bawang putih (iris tipis)--1/2 siung bawang bombay (iris tipis)--2 buah cabai merah (iris menyerong)--1/2 buah wortel (iris tipis panjang-panjang)--2 buah tomat besar--1 sdm saus sambal--secukupnya Tepung serbaguna--secukupnya Garam--secukupnya Merica--secukupnya Gula--Kaldu ayam bubuk secukupnya (bisa diskip jika tidak suka)--1/2 sdt tepung maizena (larutkan dengan sedikit air matang)--Minyak untuk menggoreng dan menumis--,Potong tuna hingga ketebalan 1.5 cm. Lumuri dengan 1 sdm tepung serbaguna. bawang putih cincang. sedikit garam. dan sedikit air. Biarkan selama 15 menit sampai bumbu meresap.--Taruh tepung serbaguna di piring terpisah. Gulingkan tuna yang sudah direndam tadi pada tepung serbaguna. lalu goreng dengan minyak panas dan api sedang. Ulangi langkah satu persatu sampai tuna habis. Tiriskan.--Jus tomat: parut tomat. lalu saring agar kulit dan bijinya tidak terbawa. Bisa juga tomat diblender dengan air sedikit. lalu saring. Sisihkan dahulu.--Tumis bawang putih. bawang bombay. cabai. dan wortel sampai layu dan harum.--Masukkan jus tomat yang tadi dibuat. Lalu tambahkan sedikit air. gula. garam. merica. saus sambal. dan kaldu ayam bubuk. Koreksi rasa. Masak hingga mendidih.--Tambahkan larutan maizena sedikit demi sedikit sampai saus agak kental. Jika kekentalannya dirasa cukup. jangan tambahkan semua.--Masukkan tuna yang sudah digoreng tadi. Aduk sebentar. lalu sajikan dengan nasi hangat.--,485,36
46,Lele sambal kemangi,https://img-global.cpcdn.com/recipes/0a0792f1e52177fd/680x482cq70/lele-penyet-sambal-kemangi-foto-resep-utama.jpg,5 lele--daun kemangi--bawang merah--bawang putih cabe besar--cabe kecil--tomat--terasi--royco--garam--,Lele di bersihkan dahulu lalu digoreng sampai matang--Buat sambalnya semua bahan tadi kecuali daun kemangi di ulek--Daun kemangi di cuci dulu--Siapkan ulekan biar enak kalau di ulek ketimbang di blender--Sambalnya di taruh di ulekan bersama lele goreng dan daun kemangi ditaruh pinggirnya--Siap disajikan dech ;)--,408,19
47,Cireng isi tongkol suwir pedas,https://img-global.cpcdn.com/steps/0be5fb90ef10dae7/160x128cq70/cireng-isi-tongkol-suwir-pedas-langkah-memasak-6-foto.jpg,Bahan cireng--250 gram tapioka/kanji--20 gram terigu--20 gram santan bubuk--2 siung bawang putih parut--Secukupnya garam--Secukupnya air Bahan isian--Abon sapi/ ayam (me: tongkol suwir pedas)--,Pertama rebus air secukupnya.--Siapkan wadah campur 250gr tapioka. 20gr terigu. 20gr santan bubuk. bawang putih yg telah diparut dan garam aduk rata.--Tambahkan air yg sudah mendidih sedikit-sedikit. aduk dengan sendok.. Bila sudah agak dingin ulen dengan tangan hingga kalis.--Setelah itu gilas adonan agak tipis. beri isian. bentuk sesuai selera.--Goreng dalam minyak bnyak dengan api sedang hingga kecoklatan.. Angkat dan sajikan.--Bisa diisi dengan sosis. bakso. ayam suwir..--Untuk resep tongkol suwir pedas bisa dilihat pada postingan sebelumnya. Happy cooking 😄😍--,348,4
48,Pepes kakap fillet,https://img-global.cpcdn.com/recipes/48061cc268eafbb6/680x482cq70/pepes-kakap-fillet-foto-resep-utama.jpg,1/4 kakap fillet--2/3 butir kelapa muda parut--5 Bj cabe rawit merah/setan--4 bj cabe keriting di potong potong--5 Bj bawang merah--4 siung bawang putih--5 butir kemiri--secukupnya Garam--secukupnya Gula pasir--sesuai selera Penyedap rasa--Daun salam--Lengkuas iris tipis tipis--Daun pisang untuk membungkus--,Haluskan cabe rawit merah. bawang merah. bawang putih. kemiri. gula pasir dan garam. tambahkan sedikit penyedap rasa.--Campurkan bumbu halus. kelapa muda parut dan potongan cabe keriting lalu aduk hingga rata--Kemudian masukkan kakap fillet ke dalam campuran bumbu tadi. lalu aduk aduk sampe rata--Setelah itu siapkan daun pisang. taruh potongan daun salam dan lengkuas lalu taruh kakap fillet yang sudah tercampur bumbu diatasnya. Lalu gulung membentuk seperti lontong--Setelah semua terbungkus. lalu di kukus kira kira 30 menit--Setelah matang kemudian di bakar.--Pepes siap di hidangkan--Selamat mencoba dan terima kasih.--,454,93
49,Bandeng kecil bumbu acar,https://img-global.cpcdn.com/recipes/5906031fa8da63ec/680x482cq70/ikan-bandeng-bumbu-acar-foto-resep-utama.jpg,500 gr bandeng kecil--3 siung bawang putih--7 siung bawang merah--2 batang cabe merah besar buang bijinya--1 ruas jahe--2 ruas kunyit--Kemiri potong setengah--1 sendok teh Ketumbar--1 ruas Laos--1 lembar daun jeruk--2 lembar daun salam--1 sendok teh garam--1 sendok teh gula--1/2 sachet Masako ayam--Wortel 2 batang potong panjang--Ketimun 2 batang potong panjang--1 sendok makan Cuka--,Cuci bersih bandengnya.lalu beri perasan jeruk lemon dan juga garam.tunggu 2menit lalu goreng smp kering.sisihkan--Potong wortel dan juga ketimun memanjang lalu cuci bersih.sisihkan--Haluskan bumbu bawang merah.bawang putih.ketumbar. kemiri.jahe.kunyit.cabe merah besar.garam dan juga gula--Tumis bumbu sampai harum masukkan laos.daun jeruk dan daun salam.lalu masukkan potongan ketimun dan wortel beri air--Setelah mendidih masukkan bandengnya n beri masako dan juga cuka--,671,93
50,Sarden homemade simple,https://img-global.cpcdn.com/recipes/511fdce068893af3/400x400cq70/photo.jpg,6 buah ikan sarden ukuran sedang--2 buah tomat ukuran sedang--4 btr bwg merah--2 siung bwg putih--1 sdm saos sambal/tomat--1 buah jeruk nipis--Garam. gula--Secukup ny Penyedap--Tambahkan cabai jika ingin pedas--,Cuci bersih ikan sarden. lalu buang kepalanya.kmudian kucuri dgn air jeruk nipis agar tdk amis. diam kan sebentar--Iris semua bumbu. lalu tumis sebentar. Potong2 tomat. masukakan jika bumbu sudah layu.--Aduk2 lalu tambah kan air. saos garam gula dan penyedap. Jika sudah mendidih masukkan ikan sarden. Jangan di aduk2 terus agar ikan tidak hancur. Aduk jika ingin membalik ikan nya saja. tes rasa.--Biarkan hingga air menyusut dan ikan di rasa cukup matang. kuah ny jgn terlalu banyak--Angkat dan sajikan.--,421,24
51,Lele Goreng Renyah,https://img-global.cpcdn.com/recipes/a7a11b9242b5cf87/680x482cq70/lele-goreng-gurihtips-agar-garingtidak-lengkettidak-meletus-foto-resep-utama.jpg,3 ekor lele--Garam--Cuka--Minyak goreng--Bahan dihaluskan:--6 siung bawang merah--4 siung bawang putih--Ketumbar--1 cm Kunyit--,Bersihkan lele--Haluskan bumbu. tuang bumbu halus tsb k mangkok/piring. beri 1 sendok teh cuka. beri air 1 gelas. beri garam secukupnya--Rendam lele pada adonan tersebut minimal 10menit agar bumbu meresap.--Panaskan minyak. lalu goreng lele sampai berwarna kecoklatan--Angkat lele & sajikan--,408,19
52,Tim Ikan Kerapu,https://img-global.cpcdn.com/recipes/d9f946f98646cbaf/680x482cq70/tim-ikan-kerapu-foto-resep-utama.jpg,2 ekor ikan kerapu (ukuran sedang)--2 buah jamur shitake (rendam +- 1jam)--Sedikit daun seledri--1 batang Bawang pre. iris serong--Jeruk nipis--Garam--Bumbu :--2 buah cabe merah. buang biji. potong serong--2 cm jahe. potong lidi--6 siung bawang putih. cincang--3 sdm minyak wijen--2 sdt kecap asin--2 sdt kecap ikan--1/2 sdt merica--Bahan pelengkap :--2 siung bawang putih cincang--1 sdm minyak wijen--,Bersihkan ikan. buang kotoran diperutnya (pastikan bersih agar tidak amis dan pahit). Sayat miring di bagian badan sekitar 2 sayatan. Lumuri ikan dengan air jeruk nipis dan garam. Diamkan 30 menit / hingga meresap.--Jamur shitake setelah tidak keras. diiris memanjang.--Campur semua bahan bumbu. Aduk hingga rata--Bilas ikan. taruh dipinggan tahan panas. Lumuri dengan bumbu yang telah dicampur tadi secara merata. sampai di bagian dalam ikan. Tambahkan jamur shitake dibagian pinggir-pinggirnya. Tambahkan bawang pre dan daun seledri di atasnya. Lalu steam/tim/kukus ikan 20-30 menit.--Sambil menunggu ikan matang. siapkan bahan pelengkap. Panaskan sedikit minyak goreng. masukkan bawang putih yang telah dicincang. goreng sambil diaduk sampai menguning. Matikan api. Biarkan bawang putih sambil disiram-siram minyak panas. sampai warna kecoklatan lalu angkat. Campur dengan minyak wijen.--Setelah ikan telah matang dan siap dsajikan. tuangkan bahan pelengkap diatas ikan tim. Sajikan dengan nasi hangat.--,465,41
53,Pindang bandeng kecap,https://img-global.cpcdn.com/recipes/711dabc6af474042/680x482cq70/pindang-bandeng-kecap-ala-betawi-foto-resep-utama.jpg,1 ekor bandeng sedang--4 bh bawang merah--3 bh bawang putih--3 bh cabe--1 ruas jahe--1 ruas lengkuas--1 ruas kunyit (sy pake kunyit bubuk)--Sereh--2 daun salam (remas2)--2 daun jeruk--1 buah tomat sedang--Royco rasa ayam--,Bersihkan sisik ikan kemudian siangi buang bagian perutnya.lalu potong jadi 4bagian dan lumuri dengan gaeam dan jeruk nipis--Iris semua bawang.jahe.lengkuas.cabe.panaskan minyak tumis semua bahan sampe harum masukan daun slam.daun jeruk dan sereh--Masukan air beri kecap.garam.kunyit bubuk.gula.penyedap. Bila sudah mendidih masukan ikan biarkn sampe ikan matang jangan lupa masukan potongan tomat..terakhir cicipi jika sudah pas matikan api dan sajikan :)--,504,42
54,Lele sambel kemangi terasi,https://img-global.cpcdn.com/recipes/0a0792f1e52177fd/1200x630cq70/photo.jpg,3 ekor lele besar--Tahu--Kemangi secukupnya ambil daunya--15 biji Lombok rawit--1 Tomat--1/2 sdt garam--1 sdt gula--Secuil terasi--seperlunya Lalapan--,Goreng lele dan tahu sampai kering kecoklatan dengan bumbu kuning biar ga amis. Sisihkan--Campur semua bahan untuk sambelanya kecuali kemangi.. Uleg jadi satu setelah halus uleg sebentar jangan sampai halus untuk kemanginya..--Siap di hidangkan dengan nasi hangat 😊😊😊--,408,19
55,Spageti saus Sarden Balado Keju,https://img-global.cpcdn.com/recipes/a885f91dc0960aa9/680x482cq70/spageti-saus-sarden-balado-keju-foto-resep-utama.jpg,150 gr Spagethi--Sarden rasa Balado dalam kemasan--Keju cheddar parut (pakai versi melted pun boleh)--bumbu:--1 siung bawang putih (cincang halus)--Jahe (seukuran ibu jari) parut--1 buah Tomat (dihaluskan)--Cabai merah (potong serong)--1 buah Jeruk nipis (jika suka)--,Rebus spageti sampai matang atau al dente--Tumis bumbu sampai harum (kecuali jeruk nipis)--Masukan sarden. lalu keju parut masak sampai matang.--Angkat sarden. tuangkan pada spageti. Lalu beri sedikit jeruk nipis.--Spageti siap dihidangkan.--,565,23
56,Gurame Asam Manis,https://img-global.cpcdn.com/recipes/a80f0275b2b36e11/680x482cq70/gurame-asam-manis-seadanya-foto-resep-utama.jpg,6 ekor gurame asap--10 butir cabe rawit--2 siung bawang merah--2 siung bawang putih--1 sdm saos tomat--1 sdm saos cabe--1/2 sdm kecap manis--1 sdt kecap ikan--secukupnya gula.garam.lada.penyedap--secukupnya air--,Goreng ikan gurame sampai kering--Iris2 bawang merah.bawang putih dan cabe rawit.kemudian tumis hingga layu--Kemudian masukkan sedikit air.saos tomat.saos cabe.kecap manis dan kecap ikan. Aduk rata--Kemudian masukkan gula.garam.lada dan penyedap. Test rasa--Kalau sudah pas.masukkan ikan guramenya dan masak sampai air menyusut.. Dan siap dihidangkan--,600,12
57,Gurame Asam Manis,https://img-global.cpcdn.com/recipes/3f7f60dc14b78bb0/400x400cq70/photo.jpg,500 gram ikan tenggiri (rendam dengan air perasan jeruk nipis dan garam)--secukupnya cabai rawit--1 buah tomat--secukupnya air perasan jeruk nipis--Bahan bumbu halus:--5 siung bawang merah--5 siung bawang putih--1 batang kunyit--7 buah kemiri--,Goreng ikan tenggiri lalu sisihkan--Tumis bahan halus yang sudah diblender hingga matang. tambahkan garam dan kaldu jamur--Masukan tomat potong dan cabai rawit--Masukan ikan yang sudah di goreng dan perasan jeruk nipis untuk mendapatkan rasa segar dan asam sesuai selera--,465,41
58,Ikan tongkol kemangi,https://img-global.cpcdn.com/recipes/0fdc154c13e04db6/680x482cq70/tongkol-suwir-daun-kemangi-foto-resep-utama.jpg,3 bungkus ikan tongkol--Cabe rawit merah dan hijau (sesuai selera)--1 ruas kunyit--1 ruas jahe--1 buah kemiri--4 bawang merah--2 bawang putih--2 ikat daun kemangi--1 batang serai--1 lembar daun salam--Secukupnya garam. gula dan penyedap--,Ikan tongkol saya rendam dengan air panas sebentar lalu di tiriskan--Goreng ikan tongkol setengah matang--Cuci daun kemangi dan bahan bumbu lainnya--Haluskan bawang merah. bawang putih. jahe. kunyit. kemiri. Untuk cabe tdk saya haluskan pakai bulat utuh--Tuang sedikit minyak utk menumis. Tumis bumbu yg telah dihaluskan sampai harum. Masukan garam. gula dan penyedap. Masukan daun salam dan batang serai.--Masukan ikan tongkol dan daun kemangi. Jangan lupa cabe rawit utuh dimasukan. Tes rasa dan siap di sajikan.--,401,41
